:@computed_region_csmy_5jwy,:@computed_region_f3tr_pr43,:@computed_region_nwen_78xc,address,city,county_name,effectiveness_of_care_national_comparison,effectiveness_of_care_national_comparison_footnote,efficient_use_of_medical_imaging_national_comparison,efficient_use_of_medical_imaging_national_comparison_footnote,emergency_services,hospital_name,hospital_overall_rating,hospital_overall_rating_footnote,hospital_ownership,hospital_type,location,location_address,location_city,location_state,location_zip,meets_criteria_for_meaningful_use_of_ehrs,mortality_national_comparison,mortality_national_comparison_footnote,patient_experience_national_comparison,patient_experience_national_comparison_footnote,phone_number,phone_number_type,provider_id,readmission_national_comparison,readmission_national_comparison_footnote,safety_of_care_national_comparison,safety_of_care_national_comparison_footnote,state,timeliness_of_care_national_comparison,timeliness_of_care_national_comparison_footnote,zip_code
35,1900,1900,520 S 7TH ST,VINCENNES,KNOX,Same as the national average,,Below the national average,,TRUE,GOOD SAMARITAN HOSPITAL,3,,Voluntary non-profit - Other,Acute Care Hospitals,POINT (-87.534213 38.67292),520 S 7TH ST,VINCENNES,IN,,TRUE,Below the national average,,Above the national average,,8128825220,,150042,Same as the national average,,Same as the national average,,IN,Above the national average,,47591
1,390,390,601 WEST CHANDLER,ARLINGTON,SIBLEY,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,RIDGEVIEW SIBLEY MEDICAL CENTER,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Voluntary non-profit - Private,Critical Access Hospitals,POINT (-94.084631 44.609782),601 WEST CHANDLER,ARLINGTON,MN,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,5079642271,,241311,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,MN,Above the national average,,55307
31,1516,1516,1960 HIGHWAY 247 CONNECTOR,BYRON,PEACH,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,"MEDICAL CENTER OF PEACH COUNTY, NAVICENT HEALTH",3,,Government - Hospital District or Authority,Critical Access Hospitals,POINT (-83.758349 32.606567),1960 HIGHWAY 247 CONNECTOR,BYRON,GA,,TRUE,Same as the national average,,Not Available,Results are not available for this reporting period,4786542000,,111310,Same as the national average,,Not Available,Results are not available for this reporting period,GA,Same as the national average,,31008
16,1879,1879,800 MERCY DRIVE,COUNCIL BLUFFS,POTTAWATTAMIE,Same as the national average,,Same as the national average,,TRUE,CHI HEALTH MERCY COUNCIL BLUFFS,3,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-95.838201 41.269636),800 MERCY DRIVE,COUNCIL BLUFFS,IA,,TRUE,Same as the national average,,Same as the national average,,7123285000,,160028,Same as the national average,,Below the national average,,IA,Above the national average,,51503
23,2919,2919,3301 MATLOCK ROAD,ARLINGTON,TARRANT,Same as the national average,,Same as the national average,,TRUE,MEDICAL CITY ARLINGTON,3,,Proprietary,Acute Care Hospitals,POINT (-97.1148 32.691751),3301 MATLOCK ROAD,ARLINGTON,TX,,TRUE,Same as the national average,,Below the national average,,8174653241,,450675,Same as the national average,,Above the national average,,TX,Below the national average,,76015
,,,ONE PLAINSBORO ROAD,PLAINSBORO,MIDDLESEX,Same as the national average,,Same as the national average,,TRUE,UNIV MEDICAL CENTER OF PRINCETON AT PLAINSBORO,3,,Voluntary non-profit - Private,Acute Care Hospitals,,ONE PLAINSBORO ROAD,PLAINSBORO,NJ,,TRUE,Same as the national average,,Same as the national average,,8664604776,,310010,Below the national average,,Above the national average,,NJ,Below the national average,,8536
22,1678,1678,5266 COMMERCE STREET,SAINT FRANCISVILLE,WEST FELICIANA,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,WEST FELICIANA PARISH HOSPITAL,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Government - Hospital District or Authority,Critical Access Hospitals,POINT (-91.365696 30.78361),5266 COMMERCE STREET,SAINT FRANCISVILLE,LA,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,2256353811,,191306,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,LA,Not Available,Results are not available for this reporting period,70775
8,1191,1191,501 EAST LOCUST STREET,LONE PINE,INYO,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,SOUTHERN INYO HOSPITAL,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Government - Hospital District or Authority,Critical Access Hospitals,POINT (-118.058159 36.608374),501 EAST LOCUST STREET,LONE PINE,CA,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,7608765501,,51302,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,CA,Not Available,Results are not available for this reporting period,93545
36,1230,1230,800 ROSE STREET,LEXINGTON,FAYETTE,Same as the national average,,Above the national average,,TRUE,UNIVERSITY OF KENTUCKY HOSPITAL,3,,Government - State,Acute Care Hospitals,POINT (-84.5067 38.03296),800 ROSE STREET,LEXINGTON,KY,,TRUE,Same as the national average,,Above the national average,,8592572278,,180067,Below the national average,,Above the national average,,KY,Below the national average,,40536
8,78,78,5451 WALNUT AVE,CHINO,SAN BERNARDINO,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,CHINO VALLEY MEDICAL CENTER,4,,Proprietary,Acute Care Hospitals,POINT (-117.685358 34.026348),5451 WALNUT AVE,CHINO,CA,,TRUE,Same as the national average,,Below the national average,,9096276111,,50586,Above the national average,,Not Available,Results are not available for this reporting period,CA,Above the national average,,91710
32,2542,2542,1105 EARL FRYE BLVD,AMORY,MONROE,Same as the national average,,Below the national average,,TRUE,GILMORE MEMORIAL HOSPITAL,3,,Proprietary,Acute Care Hospitals,POINT (-88.477625 33.977563),1105 EARL FRYE BLVD,AMORY,MS,,TRUE,Same as the national average,,Above the national average,,6622566002,,250025,Same as the national average,,Same as the national average,,MS,Above the national average,,38821
45,1857,1857,301 SAINT PAUL PLACE,BALTIMORE,BALTIMORE CITY,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,MERCY MEDICAL CENTER INC,Not Available,Data suppressed by CMS for one or more quarters,Voluntary non-profit - Church,Acute Care Hospitals,POINT (-76.61355 39.29255),301 SAINT PAUL PLACE,BALTIMORE,MD,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,4103329237,,210008,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,MD,Not Available,Results are not available for this reporting period,21202
35,2238,2238,10580 N MERIDIAN ST,INDIANAPOLIS,HAMILTON,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,ST VINCENT HEART CENTER OF INDIANA LLC,4,,Proprietary,Acute Care Hospitals,POINT (-86.15872 39.938306),10580 N MERIDIAN ST,INDIANAPOLIS,IN,,TRUE,Same as the national average,,Above the national average,,3175835000,,150153,Same as the national average,,Above the national average,,IN,Same as the national average,,46290
18,2692,2692,5325 FARAON STREET,SAINT JOSEPH,BUCHANAN,Same as the national average,,Above the national average,,TRUE,MOSAIC LIFE CARE AT ST JOSEPH,5,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-94.770247 39.770201),5325 FARAON STREET,SAINT JOSEPH,MO,,TRUE,Above the national average,,Same as the national average,,8162716000,,260006,Above the national average,,Above the national average,,MO,Above the national average,,64506
23,764,764,101 AVENUE J,ANSON,JONES,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,ANSON GENERAL HOSPITAL,3,,Government - Local,Acute Care Hospitals,POINT (-99.895514 32.768101),101 AVENUE J,ANSON,TX,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,3258233231,,450078,Same as the national average,,Not Available,Results are not available for this reporting period,TX,Above the national average,,79501
35,1904,1904,1701 N SENATE BLVD,INDIANAPOLIS,MARION,Same as the national average,,Above the national average,,TRUE,INDIANA UNIVERSITY HEALTH,2,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-86.165259 39.790571),1701 N SENATE BLVD,INDIANAPOLIS,IN,,TRUE,Same as the national average,,Below the national average,,3179625900,,150056,Below the national average,,Below the national average,,IN,Same as the national average,,46202
30,40,40,615 N BONITA AVE,PANAMA CITY,BAY,Same as the national average,,Same as the national average,,TRUE,BAY MEDICAL CENTER SACRED HEART HEALTH SYSTEM,3,,Government - Hospital District or Authority,Acute Care Hospitals,POINT (-85.647067 30.159681),615 N BONITA AVE,PANAMA CITY,FL,,TRUE,Above the national average,,Below the national average,,8507691511,,100026,Above the national average,,Above the national average,,FL,Below the national average,,32401
,,,44201 DEQUINDRE ROAD,TROY,OAKLAND,Same as the national average,,Above the national average,,TRUE,"BEAUMONT HOSPITAL, TROY",3,,Voluntary non-profit - Private,Acute Care Hospitals,,44201 DEQUINDRE ROAD,TROY,MI,,TRUE,Above the national average,,Same as the national average,,2489648800,,230269,Below the national average,,Above the national average,,MI,Same as the national average,,48085
,,,CARRETERA 21 1785 URB LAS LOMAS,SAN JUAN,SAN JUAN,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,METROPOLITAN HOSPITAL,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Proprietary,Acute Care Hospitals,,CARRETERA 21 1785 URB LAS LOMAS,SAN JUAN,PR,,TRUE,Same as the national average,,Not Available,Results are not available for this reporting period,7877829999,,400106,Same as the national average,,Not Available,Results are not available for this reporting period,PR,Not Available,Results are not available for this reporting period,915
16,293,293,255 N WELCH AVENUE,PRIMGHAR,OBRIEN,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,BAUM HARMON MERCY HOSPITAL,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Voluntary non-profit - Church,Critical Access Hospitals,POINT (-95.622796 43.088597),255 N WELCH AVENUE,PRIMGHAR,IA,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,7129572300,,161300,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,IA,Above the national average,,51245
23,2024,2024,710 CYPRESS CREEK PARKWAY,HOUSTON,HARRIS,Above the national average,,Same as the national average,,TRUE,HOUSTON NORTHWEST MEDICAL CENTER,2,,Proprietary,Acute Care Hospitals,POINT (-95.439796 30.018099),710 CYPRESS CREEK PARKWAY,HOUSTON,TX,,TRUE,Same as the national average,,Below the national average,,2814401000,,450638,Below the national average,,Same as the national average,,TX,Below the national average,,77090
25,1913,1913,40 WRIGHT STREET,PALMER,HAMPDEN,Same as the national average,,Same as the national average,,TRUE,BAYSTATE WING HOSPITAL AND MEDICAL CENTERS,4,,Voluntary non-profit - Other,Acute Care Hospitals,POINT (-72.342457 42.16813),40 WRIGHT STREET,PALMER,MA,,TRUE,Above the national average,,Same as the national average,,4132837651,,220030,Same as the national average,,Not Available,Results are not available for this reporting period,MA,Same as the national average,,1069
35,1902,1902,4321 FIR ST,EAST CHICAGO,LAKE,Same as the national average,,Same as the national average,,TRUE,ST CATHERINE HOSPITAL INC,5,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-87.448542 41.634064),4321 FIR ST,EAST CHICAGO,IN,,TRUE,Above the national average,,Same as the national average,,2193927004,,150008,Above the national average,,Above the national average,,IN,Same as the national average,,46312
32,2645,2645,630 SOUTH MAIN STREET,WATER VALLEY,YALOBUSHA,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,FALSE,YALOBUSHA GENERAL HOSPITAL,4,,Government - Local,Acute Care Hospitals,POINT (-89.641013 34.1307),630 SOUTH MAIN STREET,WATER VALLEY,MS,,TRUE,Same as the national average,,Above the national average,,6624731411,,250061,Same as the national average,,Not Available,Results are not available for this reporting period,MS,Not Available,Results are not available for this reporting period,38965
39,2111,2111,262 DANNY THOMAS PLACE,MEMPHIS,SHELBY,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,FALSE,ST JUDE CHILDRENS RESEARCH HOSPITAL,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Voluntary non-profit - Private,Childrens,POINT (-90.04253 35.15456),262 DANNY THOMAS PLACE,MEMPHIS,TN,,TRUE,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,9014953300,,443302,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,TN,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,38105
18,2696,2696,1502 NORTH JEFFERSON,CARROLLTON,CARROLL,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,CARROLL COUNTY MEMORIAL HOSPITAL,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Voluntary non-profit - Private,Critical Access Hospitals,POINT (-93.494218 39.376161),1502 NORTH JEFFERSON,CARROLLTON,MO,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,6605421695,,261332,Same as the national average,,Not Available,Results are not available for this reporting period,MO,Not Available,Results are not available for this reporting period,64633
48,2551,2551,81 HILLCREST DRIVE,PUNXSUTAWNEY,JEFFERSON,Same as the national average,,Same as the national average,,TRUE,PUNXSUTAWNEY AREA HOSPITAL,4,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-79.000359 40.960153),81 HILLCREST DRIVE,PUNXSUTAWNEY,PA,,TRUE,Same as the national average,,Above the national average,,8149381800,,390199,Above the national average,,Same as the national average,,PA,Above the national average,,15767
9,1073,1073,1000 WEST 8TH AVENUE,YUMA,YUMA,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,YUMA DISTRICT HOSPITAL,3,,Government - Hospital District or Authority,Critical Access Hospitals,POINT (-102.736654 40.118445),1000 WEST 8TH AVENUE,YUMA,CO,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,9708485405,,61315,Same as the national average,,Not Available,Results are not available for this reporting period,CO,Above the national average,,80759
25,1916,1916,800 WASHINGTON STREET,NORWOOD,NORFOLK,Same as the national average,,Same as the national average,,TRUE,NORWOOD HOSPITAL,3,,Proprietary,Acute Care Hospitals,POINT (-71.20264 42.189462),800 WASHINGTON STREET,NORWOOD,MA,,TRUE,Same as the national average,,Below the national average,,5087721000,,220126,Below the national average,,Above the national average,,MA,Below the national average,,2062
46,2488,2488,2100 WESCOTT DRIVE,FLEMINGTON,HUNTERDON,Same as the national average,,Same as the national average,,TRUE,HUNTERDON MEDICAL CENTER,3,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-74.86041 40.532524),2100 WESCOTT DRIVE,FLEMINGTON,NJ,,TRUE,Same as the national average,,Same as the national average,,9087886100,,310005,Above the national average,,Same as the national average,,NJ,Same as the national average,,8822
12,2316,2316,3600 NW SAMARITAN DRIVE,CORVALLIS,BENTON,Same as the national average,,Same as the national average,,TRUE,GOOD SAMARITAN REGIONAL MEDICAL CENTER,3,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-123.251104 44.604624),3600 NW SAMARITAN DRIVE,CORVALLIS,OR,,TRUE,Same as the national average,,Same as the national average,,5417685111,,380014,Above the national average,,Below the national average,,OR,Same as the national average,,97330
29,1539,1539,849 SOUTH THREE NOTCH STREET,ANDALUSIA,COVINGTON,Same as the national average,,Same as the national average,,TRUE,ANDALUSIA REGIONAL HOSPITAL,3,,Proprietary,Acute Care Hospitals,POINT (-86.495539 31.297502),849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,,TRUE,Same as the national average,,Below the national average,,3342228466,,10036,Below the national average,,Below the national average,,AL,Above the national average,,36420
8,1195,1195,38600 MEDICAL CENTER DRIVE,PALMDALE,LOS ANGELES,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,PALMDALE REGIONAL MEDICAL CENTER,3,,Proprietary,Acute Care Hospitals,POINT (-118.143668 34.585649),38600 MEDICAL CENTER DRIVE,PALMDALE,CA,,TRUE,Same as the national average,,Same as the national average,,6613825000,,50204,Below the national average,,Above the national average,,CA,Below the national average,,93552
48,2607,2607,32-36 CENTRAL AVENUE,WELLSBORO,TIOGA,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,SOLDIERS AND SAILORS MEMORIAL HOSPITAL,Not Available,Results are not available for this reporting period,Voluntary non-profit - Private,Critical Access Hospitals,POINT (-77.287319 41.726783),32-36 CENTRAL AVENUE,WELLSBORO,PA,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,5707241631,,391316,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,PA,Not Available,Results are not available for this reporting period,16901
26,485,485,90 SWIFTWATER RD,WOODSVILLE,GRAFTON,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,COTTAGE HOSPITAL,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Voluntary non-profit - Private,Critical Access Hospitals,POINT (-72.023349 44.136331),90 SWIFTWATER RD,WOODSVILLE,NH,,TRUE,Same as the national average,,Not Available,Results are not available for this reporting period,6037479000,,301301,Same as the national average,,Not Available,Results are not available for this reporting period,NH,Not Available,Results are not available for this reporting period,3785
6,3009,3009,201 - 16TH AVENUE EAST,SEATTLE,KING,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,GROUP HEALTH CENTRAL HOSPITAL,Not Available,Results are not available for this reporting period,Voluntary non-profit - Other,Acute Care Hospitals,POINT (-122.311413 47.619731),201 - 16TH AVENUE EAST,SEATTLE,WA,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,2063263000,,500052,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,WA,Not Available,Results are not available for this reporting period,98112
8,1334,1334,725 WELCH ROAD,PALO ALTO,SANTA CLARA,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,FALSE,LUCILE SALTER PACKARD CHILDREN'S HSP AT STANFORD,Not Available,Results are not available for this reporting period,Voluntary non-profit - Private,Childrens,POINT (-122.175061 37.437382),725 WELCH ROAD,PALO ALTO,CA,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,6504978000,,53305,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,CA,Not Available,Results are not available for this reporting period,94304
23,2852,2852,104 7TH STREET,BAY CITY,MATAGORDA,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,MATAGORDA REGIONAL MEDICAL CENTER,3,,Government - Hospital District or Authority,Acute Care Hospitals,POINT (-95.99129 28.982805),104 7TH STREET,BAY CITY,TX,,TRUE,Same as the national average,,Same as the national average,,9792456383,,450465,Same as the national average,,Same as the national average,,TX,Same as the national average,,77414
20,2273,2273,6901 SOUTH OLYMPIA AVENUE,TULSA,TULSA,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,"TULSA SPINE & SPECIALTY HOSPITAL, LLC",Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Proprietary,Acute Care Hospitals,POINT (-96.004542 36.06376),6901 SOUTH OLYMPIA AVENUE,TULSA,OK,,TRUE,Not Available,Results are not available for this reporting period,Above the national average,,9183885701,,370216,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,OK,Not Available,Results are not available for this reporting period,74132
8,78,78,9961 SIERRA AVE,FONTANA,SAN BERNARDINO,Above the national average,,Not Available,Results are not available for this reporting period,TRUE,KAISER FOUNDATION HOSPITAL FONTANA,3,This hospitals star rating only includes data reported on inpatient services,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-117.433458 34.072271),9961 SIERRA AVE,FONTANA,CA,,TRUE,Same as the national average,,Above the national average,,9094275500,,50140,Same as the national average,,Same as the national average,,CA,Not Available,Results are not available for this reporting period,92335
,2320,2320,900 11TH STREET SE,BANDON,COOS,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,SOUTHERN COOS HOSPITAL & HEALTH CENTER,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Government - Hospital District or Authority,Critical Access Hospitals,POINT (-124.402426 43.113244),900 11TH STREET SE,BANDON,OR,,TRUE,Same as the national average,,Not Available,Results are not available for this reporting period,5413472426,,381304,Same as the national average,,Not Available,Results are not available for this reporting period,OR,Not Available,Results are not available for this reporting period,97411
30,1081,1081,701 6TH ST S,SAINT PETERSBURG,PINELLAS,Same as the national average,,Same as the national average,,TRUE,BAYFRONT HEALTH - ST PETERSBURG,2,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-82.641663 27.763222),701 6TH ST S,SAINT PETERSBURG,FL,,TRUE,Same as the national average,,Below the national average,,7278231234,,100032,Below the national average,,Below the national average,,FL,Same as the national average,,33701
39,2111,2111,877 JEFFERSON AVENUE,MEMPHIS,SHELBY,Same as the national average,,Same as the national average,,TRUE,REGIONAL ONE HEALTH,2,,Government - Hospital District or Authority,Acute Care Hospitals,POINT (-90.031297 35.142634),877 JEFFERSON AVENUE,MEMPHIS,TN,,TRUE,Not Available,Results are not available for this reporting period,Below the national average,,9015457928,,440152,Not Available,Results are not available for this reporting period,Below the national average,,TN,Below the national average,,38103
47,2035,2035,845 ROUTES 5 AND 20,IRVING,CHAUTAUQUA,Same as the national average,,Same as the national average,,FALSE,TLC HEALTH NETWORK,4,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-79.12678 42.559495),845 ROUTES 5 AND 20,IRVING,NY,,TRUE,Same as the national average,,Above the national average,,7165323377,,330132,Same as the national average,,Not Available,Results are not available for this reporting period,NY,Same as the national average,,14081
30,1090,1090,850 E MAIN ST,LAKE BUTLER,UNION,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,LAKE BUTLER HOSPITAL,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Proprietary,Critical Access Hospitals,POINT (-82.327433 30.023603),850 E MAIN ST,LAKE BUTLER,FL,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,3864962323,,101303,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,FL,Not Available,Results are not available for this reporting period,32054
,3211,3211,1117 SPRING STREET,FRIDAY HARBOR,SAN JUAN,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,PEACEHEALTH PEACE ISLAND MEDICAL CENTER,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Voluntary non-profit - Private,Critical Access Hospitals,POINT (-123.028171 48.529857),1117 SPRING STREET,FRIDAY HARBOR,WA,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,3603782141,,501340,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,WA,Same as the national average,,98250
23,3162,3162,9301 NORTH CENTRAL EXPRESSWAY SUITE 100,DALLAS,DALLAS,Above the national average,,Not Available,Results are not available for this reporting period,TRUE,NORTH CENTRAL SURGICAL CENTER LLP,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Voluntary non-profit - Other,Acute Care Hospitals,POINT (-96.770611 32.875179),9301 NORTH CENTRAL EXPRESSWAY SUITE 100,DALLAS,TX,,TRUE,Not Available,Results are not available for this reporting period,Above the national average,,2142652810,,670049,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TX,Same as the national average,,75231
,,,1210 KY HWY 36 E,CYNTHIANA,HARRISON,Same as the national average,,Same as the national average,,TRUE,HARRISON MEMORIAL HOSPITAL,4,,Voluntary non-profit - Other,Acute Care Hospitals,,1210 KY HWY 36 E,CYNTHIANA,KY,,TRUE,Same as the national average,,Above the national average,,8592342300,,180079,Same as the national average,,Not Available,Results are not available for this reporting period,KY,Above the national average,,41031
8,81,81,26501 AVENUE 140,PORTERVILLE,TULARE,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,FALSE,PORTERVILLE DEVELOPMENTAL CENTER,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Government - State,Acute Care Hospitals,POINT (-118.980483 36.043908),26501 AVENUE 140,PORTERVILLE,CA,,,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,5597822222,,50546,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,CA,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,93257
47,2131,2131,521 EAST AVENUE,LOCKPORT,NIAGARA,Below the national average,,Same as the national average,,TRUE,EASTERN NIAGARA HOSPITAL,2,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-78.671075 43.17638),521 EAST AVENUE,LOCKPORT,NY,,TRUE,Same as the national average,,Below the national average,,7165145700,,330163,Below the national average,,Same as the national average,,NY,Same as the national average,,14094
,,,BO MONACILLO CARR NUM 22,SAN JUAN,SAN JUAN,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,TRUE,ADMIN DE SERVICIOS MEDICOS  PUERTO RIC,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score,Government - Local,Acute Care Hospitals,,BO MONACILLO CARR NUM 22,SAN JUAN,PR,,TRUE,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,7877773535,,400127,Not Available,Results are not available for this reporting period,Not Available,Results are not available for this reporting period,PR,Not Available,Results are not available for this reporting period,935
18,516,516,1600 E EVERGREEN,CAMERON,CLINTON,Same as the national average,,Same as the national average,,TRUE,CAMERON REGIONAL MEDICAL CENTER,2,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-94.218308 39.731504),1600 E EVERGREEN,CAMERON,MO,,TRUE,Same as the national average,,Below the national average,,8166322101,,260057,Same as the national average,,Same as the national average,,MO,Above the national average,,64429
40,2902,2902,1990 HOLTON AVENUE EAST,BIG STONE GAP,WISE,Same as the national average,,Below the national average,,TRUE,LONESOME PINE HOSPITAL,3,,Voluntary non-profit - Other,Acute Care Hospitals,POINT (-82.75567 36.877284),1990 HOLTON AVENUE EAST,BIG STONE GAP,VA,,TRUE,Same as the national average,,Same as the national average,,2765233111,,490114,Same as the national average,,Same as the national average,,VA,Above the national average,,24219
40,2770,2770,2501 PARKERS LANE,ALEXANDRIA,FAIRFAX,Same as the national average,,Same as the national average,,TRUE,INOVA MOUNT VERNON HOSPITAL,3,,Voluntary non-profit - Private,Acute Care Hospitals,POINT (-77.074637 38.739993),2501 PARKERS LANE,ALEXANDRIA,VA,,TRUE,Same as the national average,,Same as the national average,,7036647000,,490122,Below the national average,,Above the national average,,VA,Same as the national average,,22306
41,880,880,240 MAPLE ST,WOODRUFF,ONEIDA,Same as the national average,,Not Available,Results are not available for this reporting period,TRUE,HOWARD YOUNG MEDICAL CTR,4,,Voluntary non-profit - Church,Acute Care Hospitals,POINT (-89.701837 45.89437),240 MAPLE ST,WOODRUFF,WI,,TRUE,Same as the national average,,Above the national average,,7153568000,,520091,Above the national average,,Above the national average,,WI,Same as the national average,,54568
